ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,STEDT
Taoping-253_year-1-1,Taoping-253_year-1,pə³³,118,false,expert,Sims2020,,,,
Longxi-253_year-1-1,Longxi-253_year-1,pù,118,false,expert,Sims2020,,,,
Mianchi-253_year-1-1,Mianchi-253_year-1,pù,118,false,expert,Sims2020,,,,
Yonghe-135_oneyear-1-1,Yonghe-135_oneyear-1,ə́-pù,118,false,expert,Sims2020,,,,
Wadu-253_year-1-1,Wadu-253_year-1,pʉ̀,118,false,expert,Sims2020,,,,
Dayang-253_year-1-1,Dayang-253_year-1,pɨ̀,118,false,expert,Sims2020,,,,
Taoba-253_year-1-1,Taoba-253_year-1,pu⁵³,118,false,expert,Sims2020,,,,
Qinghua-253_year-1-1,Qinghua-253_year-1,pə¹³,118,false,expert,Sims2020,,,,
Lanping-253_year-1-1,Lanping-253_year-1,pə¹³,118,false,expert,Sims2020,,,,
Jiulong-253_year-1-1,Jiulong-253_year-1,pi⁵³,118,false,expert,Sims2020,,,,
Taoping-247_who-1-1,Taoping-247_who-1,sɨ⁵⁵,108,false,expert,Sims2020,,,,#5632
Longxi-247_who-1-1,Longxi-247_who-1,sɨ́,108,false,expert,Sims2020,,,,#5632
Mianchi-247_who-1-1,Mianchi-247_who-1,ʂí_lè,108,false,expert,Sims2020,,,,#5632
Yonghe-247_who-1-1,Yonghe-247_who-1,sɨ́,108,false,expert,Sims2020,,,,#5632
Wadu-247_who-1-1,Wadu-247_who-1,hĩ̂,108,false,expert,Sims2020,,,,#5632
Niuwozi-247_who-1-1,Niuwozi-247_who-1,xɜᴴ,108,false,expert,Sims2020,,,,#5632
Taoba-247_who-1-1,Taoba-247_who-1,xɛ⁵⁵,108,false,expert,Sims2020,,,,#5632
Qinghua-247_who-1-1,Qinghua-247_who-1,xɛ⁵⁵,108,false,expert,Sims2020,,,,#5632
Lanping-247_who-1-1,Lanping-247_who-1,xɛ⁵⁵,108,false,expert,Sims2020,,,,#5632
Taoping-246_white-1-1,Taoping-246_white-1,pʐi⁵⁵,183,false,expert,Sims2020,,,,#3608
Longxi-246_white-1-1,Longxi-246_white-1,pʰé,183,false,expert,Sims2020,,,,#3608
Mianchi-246_white-1-1,Mianchi-246_white-1,pʂí,183,false,expert,Sims2020,,,,#3608
Yonghe-246_white-1-1,Yonghe-246_white-1,pʰjí,183,false,expert,Sims2020,,,,#3608
Wadu-246_white-1-1,Wadu-246_white-1,ʈʰṍ,183,false,expert,Sims2020,,,,#3608
Niuwozi-246_white-1-1,Niuwozi-246_white-1,pʰʴĩᴴ,183,false,expert,Sims2020,,,,#3608
Dayang-246_white-1-1,Dayang-246_white-1,pʰʂẽ́,183,false,expert,Sims2020,,,,#3608
Taoba-246_white-1-1,Taoba-246_white-1,pʰʐã⁵⁵_mə⁵³,183,false,expert,Sims2020,,,,#3608
Qinghua-246_white-1-1,Qinghua-246_white-1,pʰʐə̃⁵⁵,183,false,expert,Sims2020,,,,#3608
Lanping-246_white-1-1,Lanping-246_white-1,pʰʂə̃⁵⁵,183,false,expert,Sims2020,,,,#3608
Jiulong-246_white-1-1,Jiulong-246_white-1,pʰʐĩ⁵⁵_lø⁵⁵_lø¹¹,183,false,expert,Sims2020,,,,#3608
Taoping-242_weigh-1-1,Taoping-242_weigh-1,tɕʰe⁵⁵,95,false,expert,Sims2020,,,,#2312
Longxi-245_weightgrain-1-1,Longxi-245_weightgrain-1,tɕʰì_tɕʰí,95,false,expert,Sims2020,,,,#2312
Mianchi-244_weighgrain-1-1,Mianchi-244_weighgrain-1,tɕʰé,95,false,expert,Sims2020,,,,#2312
Taoba-242_weigh-1-1,Taoba-242_weigh-1,tə⁵⁵_tɕɛ⁵³,95,false,expert,Sims2020,,,,#2312
Lanping-243_weighfood-1-1,Lanping-243_weighfood-1,tə⁵⁵_tɕi⁵⁵,95,false,expert,Sims2020,,,,#2312
Jiulong-243_weighfood-1-1,Jiulong-243_weighfood-1,tɯ⁵⁵_ke⁵⁵,95,false,expert,Sims2020,,,,#2312
Taoping-241_weep-1-1,Taoping-241_weep-1,ŋə⁵⁵,104,false,expert,Sims2020,,,,#1104
