LEXEME	REPLACEMENT	NOTE
mã³⁵, mɛ̃i³⁵, qʰuo¹¹ mɛi³⁵	mã³⁵	
má{ȵú} mé{ȵòu}	máȵú	
nə¹¹ pʰə⁵⁵, nɑ¹¹ pʰɑ⁵⁵	nə¹¹_pʰə⁵⁵	
{mə́} ɬyé	mə́_ɬyé	
tɐ-tsɛ̌j / tsǎ	tɐ-tsɛ̌j
pɛ ̀tʂʰì	pɛ_tʂʰì
