ID	Name	SubGroup	Glottocode
Taoping	Taoping	Qiang	taop1238
Longxi	Longxi	Qiang	long1374
Mianchi	Mianchi	Qiang	mian1253
Yonghe	Yonghe	Qiang	yong1287
Wadu	Wadu	Pumi	nort2723
Niuwozi	Niuwozi	Pumi	sout2729
Dayang	Dayang	Pumi	daya1246
Taoba	Taoba	Pumi	taob1239
Qinghua	Qinghua	Pumi	qing1238
Lanping	Lanping	Pumi	sout2729
Jiulong	Jiulong	Pumi	sout2729
Tangut	Tangut	West-Rgyalrongic	tang1334
