NUMBER	ENGLISH	VARIANTS	LANGUAGES
1	NA	NA	Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Taoping;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut;Tangut
2	answer, reply (v.)	answer, reply (v.)	Taoping;Longxi;Lanping
3	axe	axe⁷⁰	Niuwozi;Dayang;Lanping;Jiulong
4	be long	be long	Taoping;Longxi;Mianchi;Yonghe;Wadu;Dayang;Taoba;Qinghua;Lanping;Jiulong
5	be sour	be sour	Yonghe;Wadu;Niuwozi;Dayang
6	be thirsty	be thirsty	Taoping;Mianchi;Yonghe
7	beard	beard	Taoping;Yonghe;Taoba;Qinghua;Jiulong
8	bee	bee⁴⁷	Taoping;Longxi;Mianchi;Yonghe;Wadu;Niuwozi;Dayang;Lanping;Jiulong
9	bite	bite	Dayang
10	bitter	bitter⁵⁶	Taoping;Longxi;Mianchi;Yonghe;Wadu;Niuwozi;Dayang;Taoba;Qinghua;Lanping;Jiulong
11	black	black	Taoping;Longxi;Mianchi;Yonghe;Wadu;Niuwozi;Dayang;Taoba;Qinghua;Lanping
12	blind	blind	Wadu;Niuwozi
13	blood	blood	Taoping;Longxi;Mianchi;Yonghe;Wadu;Niuwozi;Dayang;Taoba;Qinghua;Lanping;Jiulong
14	bloom	bloom	Longxi;Mianchi;Yonghe;Qinghua
15	blow	blow	Taoping;Longxi;Lanping;Wadu;Niuwozi;Dayang;Taoba;Lanping;Jiulong
16	bone	bone	Taoping;Longxi;Mianchi;Yonghe;Wadu;Niuwozi;Dayang;Taoba;Qinghua;Lanping;Jiulong
17	bowl	bowl	Wadu;Niuwozi;Taoba;Qinghua;Lanping
18	break (v.i., of rope)	break (v.i., of rope)	Taoping;Longxi;Mianchi;Taoba;Qinghua
19	bridge	bridge	Niuwozi;Taoba;Qinghua;Lanping;Jiulong
20	bunch/bundle	bunch/bundle	Jiulong
21	bundle	bundle	Longxi;Mianchi
22	butterfly	butterfly	Lanping
23	buttocks	buttocks	Taoping
24	cat	cat	Taoping;Longxi;Yonghe;Niuwozi;Taoba;Qinghua;Jiulong
25	cave	cave	Yonghe;Jiulong
26	cave (mountain)	cave (mountain)	Taoping
